|positive|,2016-04-17 ," RT @CNNMoney: Apple recovered $40 million worth of gold from recycled iPhones, iPads &amp; Macs in 2015. https://t.co/XPBWlM6cBs $AAPL https://…",2.0
|neutral|,2016-04-17 , Haven't seen any confirmation of the report from Friday that $AAPL was reducing iPhone production again this qtr,0.0
|neutral|,2016-04-17 , Swing Trade Member Webinar Happening Now ! #swingtrade #watchlist #smallcap #bluechips #options #stock $AAPL $SPY https://t.co/AFcuhdmZCI,0.0
|positive|,2016-04-17 , #Apple Recovered $40 Million Worth Of Gold From Recycled Electronic Devices In 2015. Read more: https://t.co/tfV7pXpfT3 $AAPL,2.0
|positive|,2016-04-17 , #Apple Recovered $40 Million Worth Of Gold From Recycled Electronic Devices In 2015. Read more: https://t.co/2r5sPu36by $AAPL,2.0
|positive|,2016-04-17 , #Apple Recovered $40 Million Worth Of Gold From Recycled Electronic Devices In 2015. Read more: https://t.co/55k6aOx6yL $AAPL,2.0
|neutral|,2016-04-17 , RT @alphatrends: $PYPL headed for breakout? c my vid https://t.co/UbOqEaWxLk $SPY $IWM $QQQ $AAPL $SMH $IBB https://t.co/6wfsU8Doz2,0.0
|neutral|,2016-04-17 , $AAPL AlanC: What if you sold 10 percent of Apple: AlanC https://t.co/TyAWG24m1n,0.0
|neutral|,2016-04-17 , $AAPL AlanC: What if you sold 10 percent of Apple: AlanC https://t.co/b9elRsTNQ0,0.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|positive|,2016-04-17 , @WallStreeTopGun yea so much good news earthquakes oil earnings defaults 21T $DB derivatives Japan now disrupts $aapl and #sony $spy $oil,3.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|positive|,2016-04-17 ," @redacre $GILD is like $AAPL ($250B cash + $50B/yr profits), still MC only $650B...means mkt thinks deadens after iPhone. So low valuation.",2.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|neutral|,2016-04-17 ," I have cellphone add. Switched back to an iPhone 6, from the plus. $AAPL",0.0
|negative|,2016-04-17 , Apple Inc. (AAPL) Making Millions Mining Gold From Waste https://t.co/Kt9XK2j99M $AAPL,-1.0
|positive|,2016-04-17 , RT @Nvestly: RT @ppprophet: $SPX on the top of downtrend Channel Be careful! #STOCKMARKET $SPY $AAPL $AMZN $TSLA $FB $QQQ $DIA $NFLX $PCLN…,4.0
|negative|,2016-04-17 , RT @SurferJohn08: Commented on What Apple Investors Are Missing About Its Valuation https://t.co/RUmZU9zX57 $TSLA $AAPL,-2.0
|negative|,2016-04-17 , Commented on What Apple Investors Are Missing About Its Valuation https://t.co/RUmZU9zX57 $TSLA $AAPL,-2.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|neutral|,2016-04-17 , There's gold in them thar iPhones !  $aapl #Recycling @AdamMinter @Recyclebank @MarcGunther #ewaste @SimsMM #metals https://t.co/799IKe9rrP,0.0
|positive|,2016-04-17 , RT @ppprophet: $SPX on the top of downtrend Channel Be careful! #STOCKMARKET $SPY $AAPL $AMZN $TSLA $FB $QQQ $DIA $NFLX $PCLN $C $F… #invest,4.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|positive|,2016-04-17 , RT @ppprophet: $SPX on the top of downtrend Channel Be careful! #STOCKMARKET $SPY $AAPL $AMZN $TSLA $FB $QQQ $DIA $NFLX $PCLN $C $F https:/…,4.0
|neutral|,2016-04-17 , Is Fitbit Inc CEO James Park Right About the Apple Watch?:  https://t.co/1GNBZMimJT $AAPL $GOOG $PCLN $K,0.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|neutral|,2016-04-17 ," $AAPL News coincided with 61.8 Fib, watching for pop / intraday setup. https://t.co/qZoSB2c1jA",0.0
|positive|,2016-04-17 , Commented on Can Apple Watch Compete Against Fitbit's Blaze? https://t.co/oB3r4taic1 $AMZN $UA $AAPL $FIT,1.0
|neutral|,2016-04-17 , Should #Apple wait longer to enter the VR game?. Read more: https://t.co/dzvz2zHCg1 $AAPL,0.0
|neutral|,2016-04-17 , Should #Apple wait longer to enter the VR game?. Read more: https://t.co/ou7gQqOEJ9 $AAPL,0.0
|neutral|,2016-04-17 , #Apple iPhone SE owners bemoan audio bug - CNET . Read more: https://t.co/UfYoMgAH27 $AAPL,0.0
|neutral|,2016-04-17 , #Apple iPhone SE owners bemoan audio bug - CNET . Read more: https://t.co/W3zglgA8DI $AAPL,0.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|neutral|,2016-04-17 , #Apple iPhone SE owners bemoan audio bug - CNET . Read more: https://t.co/I12p9xy3iw $AAPL,0.0
|neutral|,2016-04-17 , Should #Apple wait longer to enter the VR game?. Read more: https://t.co/o1vd7ihA6j $AAPL,0.0
|neutral|,2016-04-17 ," RT @EliLanger: 40 years ago this month, Apple co-founder Ronald Wayne sold his 10% stake in $AAPL for $800. Current value: $61 billion.",0.0
|negative|,2016-04-17 , RT @PrivateCapBlog: What Apple Investors Are Missing About Its Valuation $AAPL https://t.co/iXF0JOd2oe,-2.0
